encounter_id,party_size,party_level,monster_count,monster_name,monster_challenge_rating,encounter_description,feasibility_label
encounter_4228,5,17,1,Troll,5.0,A group of 1 Troll(s) confronts a party of 5 adventurers at level 17.,Possible
encounter_4677,1,13,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 1 adventurers at level 13.,Possible
encounter_801,4,6,9,Young Red Dragon,10.0,A group of 9 Young Red Dragon(s) confronts a party of 4 adventurers at level 6.,Not Possible
encounter_3672,5,17,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 5 adventurers at level 17.,Possible
encounter_4194,4,5,2,Young Red Dragon,10.0,A group of 2 Young Red Dragon(s) confronts a party of 4 adventurers at level 5.,Possible
encounter_2969,5,6,6,Troll,5.0,A group of 6 Troll(s) confronts a party of 5 adventurers at level 6.,Possible
encounter_4794,5,17,7,Young Red Dragon,10.0,A group of 7 Young Red Dragon(s) confronts a party of 5 adventurers at level 17.,Possible
encounter_4369,4,2,1,Troll,5.0,A group of 1 Troll(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_2777,1,4,8,Young Red Dragon,10.0,A group of 8 Young Red Dragon(s) confronts a party of 1 adventurers at level 4.,Not Possible
encounter_2971,2,6,1,Goblin,0.25,A group of 1 Goblin(s) confronts a party of 2 adventurers at level 6.,Possible
encounter_3868,3,2,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 3 adventurers at level 2.,Possible
encounter_1744,3,7,7,Troll,5.0,A group of 7 Troll(s) confronts a party of 3 adventurers at level 7.,Not Possible
encounter_3949,1,15,2,Ogre,2.0,A group of 2 Ogre(s) confronts a party of 1 adventurers at level 15.,Possible
encounter_3803,4,11,1,Bugbear,1.0,A group of 1 Bugbear(s) confronts a party of 4 adventurers at level 11.,Possible
encounter_2025,4,15,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 4 adventurers at level 15.,Possible
encounter_2275,3,14,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 3 adventurers at level 14.,Possible
encounter_100,2,15,1,Ogre,2.0,A group of 1 Ogre(s) confronts a party of 2 adventurers at level 15.,Possible
encounter_4922,2,10,5,Bugbear,1.0,A group of 5 Bugbear(s) confronts a party of 2 adventurers at level 10.,Possible
encounter_3408,2,7,2,Young Red Dragon,10.0,A group of 2 Young Red Dragon(s) confronts a party of 2 adventurers at level 7.,Not Possible
encounter_4246,5,3,3,Troll,5.0,A group of 3 Troll(s) confronts a party of 5 adventurers at level 3.,Possible
encounter_4620,1,5,9,Orc,0.5,A group of 9 Orc(s) confronts a party of 1 adventurers at level 5.,Possible
encounter_4917,3,14,9,Bugbear,1.0,A group of 9 Bugbear(s) confronts a party of 3 adventurers at level 14.,Possible
encounter_192,3,12,8,Young Red Dragon,10.0,A group of 8 Young Red Dragon(s) confronts a party of 3 adventurers at level 12.,Not Possible
encounter_4697,3,14,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 3 adventurers at level 14.,Possible
encounter_1785,2,3,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 2 adventurers at level 3.,Possible
encounter_1533,5,18,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 5 adventurers at level 18.,Possible
