date,item_id,item_name,restaurant_id,restaurant_name,item_cost,calories,predicted_units_sold,predicted_revenue
2022-01-01,1,Chocolate Cake,4,Fou Cher,6.71,554,0.016,0.11
2022-01-01,2,Breaded Fish with Vegetables Meal,4,Fou Cher,15.09,772,0.016,0.24
2022-01-01,3,Sweet Fruity Cake,1,Bob's Diner,29.22,931,2.242,65.51
2022-01-01,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,763,32.385,855.62
2022-01-01,5,Milk Cake,5,Corner Cafe,6.07,583,0.017,0.1
2022-01-01,6,Fruity Frozen Cocktail,4,Fou Cher,5.61,537,0.016,0.09
2022-01-01,7,Fruity Milky Cake,4,Fou Cher,8.1,605,0.016,0.13
2022-01-01,8,Amazing Trout with Vegetables Dinner,6,Surfs Up,24.98,258,0.091,2.26
2022-01-01,9,Orange Juice,1,Bob's Diner,3.91,135,85.903,335.88
2022-01-01,10,Mutton with Roles and Vegetables Plate,5,Corner Cafe,21.13,820,0.017,0.35
2022-01-01,11,Fantastic Sweet Fish Cake,4,Fou Cher,19.48,787,0.2,3.9
2022-01-01,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,478,4.386,21.36
2022-01-01,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,490,35.249,147.34
2022-01-01,14,Amazing Cocktail,6,Surfs Up,3.9,472,0.052,0.2
2022-01-01,15,Original Lamb with Vegetables Meal,5,Corner Cafe,18.78,380,0.017,0.32
2022-01-01,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,284,5.503,17.67
2022-01-01,17,Awesome Vegetable with Bread Meal,4,Fou Cher,6.21,581,0.016,0.1
2022-01-01,18,Mutton Lunch Plate,1,Bob's Diner,18.82,566,1.154,21.73
2022-01-01,19,Strawberry Smoothy,1,Bob's Diner,2.89,145,273.263,789.73
2022-01-01,20,Fruity Milky Soft Drink,5,Corner Cafe,7.95,645,0.017,0.13
2022-01-01,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,269,10.959,254.57
2022-01-01,22,Lamb with Bread Dinner,4,Fou Cher,19.05,557,0.016,0.31
2022-01-01,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,671,1.257,13.65
2022-01-01,24,Amazing Sweet Fruity Vegetable Cake,1,Bob's Diner,7.91,588,0.756,5.98
2022-01-01,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,587,0.952,5.93
2022-01-01,26,Blue Ribbon Lamb with Rolls Lunch,5,Corner Cafe,7.55,611,0.333,2.51
2022-01-01,27,Steak Meal,6,Surfs Up,26.21,607,0.28,7.33
2022-01-01,28,Fish with Dread and Vegetables Dinner,4,Fou Cher,15.23,534,0.018,0.27
2022-01-01,29,Original Crazy Cocktail,2,Beachfront Bar,2.43,228,0.419,1.02
2022-01-01,30,Fantastic Cake,3,Sweet Shack,5.08,525,0.015,0.08
2022-01-01,31,Amazing Frozen Milky Cake,1,Bob's Diner,5.62,623,0.797,4.48
2022-01-01,32,Milky vegi Smoothy,3,Sweet Shack,3.86,150,0.015,0.06
2022-01-01,33,Original Breaded Pork with Vegetables Dinner,6,Surfs Up,20.8,1023,0.053,1.11
2022-01-01,34,Sweet Savory Cake,4,Fou Cher,27.47,721,0.016,0.45
