forecast_month,month,predicted_units_sold,average_daily_units_sold,predicted_revenue,annual_demand_share_pct
2022-01-01,January 2022,14591.449,470.692,142106.41,5.925
2022-02-01,February 2022,15139.366,540.692,145981.19,6.148
2022-03-01,March 2022,19501.567,629.083,188520.29,7.919
2022-04-01,April 2022,22681.603,756.053,219682.58,9.211
2022-05-01,May 2022,25142.786,811.058,242180.48,10.21
2022-06-01,June 2022,26911.529,897.051,259294.89,10.928
2022-07-01,July 2022,27928.471,900.918,268327.48,11.341
2022-08-01,August 2022,24427.694,787.99,233903.94,9.92
2022-09-01,September 2022,21400.314,713.344,205687.59,8.69
2022-10-01,October 2022,18263.371,589.141,175388.45,7.416
2022-11-01,November 2022,15068.284,502.276,145223.76,6.119
2022-12-01,December 2022,15198.415,490.271,146748.63,6.172
