relative_strength_rank,restaurant_name,restaurant_id,item_name,item_id,within_restaurant_rank,restaurant_menu_item_count,predicted_units_sold,average_daily_units_sold,predicted_revenue,restaurant_demand_share_pct,relative_demand_index
1,Bob's Diner,1,Strawberry Smoothy,19,1,24,91283.93,250.093,263810.56,37.441,898.59
2,Fou Cher,4,Blue Ribbon Fruity Vegi Lunch,80,1,28,111.715,0.306,6030.39,30.103,842.895
3,Sweet Shack,3,Awesome Smoothy,49,1,8,577.556,1.582,802.8,93.563,748.506
4,Corner Cafe,5,Frozen Milky Smoothy,71,1,24,104.112,0.285,414.37,24.148,579.541
5,Surfs Up,6,Awesome Soft Drink,89,1,10,318.794,0.873,975.51,53.848,538.477
6,Beachfront Bar,2,Fantastic Milky Smoothy,42,1,6,380.835,1.043,1108.23,87.071,522.424
7,Bob's Diner,1,Mutton Dinner,38,2,24,38653.924,105.901,417462.38,15.854,380.505
8,Corner Cafe,5,Lamb with Bread Entree,93,2,24,64.94,0.178,807.86,15.062,361.491
9,Fou Cher,4,Original Fruity Cod with Bread and Vegetables Entree,97,2,28,45.148,0.124,1293.48,12.166,340.639
10,Corner Cafe,5,Blue Ribbon Lamb with Rolls Lunch,26,3,24,52.139,0.143,393.65,12.093,290.233
11,Bob's Diner,1,Orange Juice,9,3,24,29053.374,79.598,113598.69,11.917,285.998
12,Fou Cher,4,Fantastic Sweet Fish Cake,11,3,28,33.215,0.091,647.03,8.95,250.607
13,Fou Cher,4,Fruity Frozen Slushy,79,4,28,29.933,0.082,112.25,8.066,225.842
14,Bob's Diner,1,Amazing pork lunch,76,4,24,21847.866,59.857,391732.23,8.961,215.068
15,Corner Cafe,5,Lamb with Vegetables Meal,58,4,24,32.911,0.09,449.57,7.633,183.202
16,Bob's Diner,1,Blue Ribbon Beef Entree,59,5,24,16155.287,44.261,377549.07,6.626,159.031
17,Corner Cafe,5,Original Pork Meal,60,5,24,24.675,0.068,387.15,5.723,137.352
18,Corner Cafe,5,Awesome Hamburger with Fries,69,6,24,23.362,0.064,608.34,5.418,130.043
19,Bob's Diner,1,Sweet Frozen Soft Drink,13,6,24,12818.677,35.12,53582.07,5.258,126.186
20,Bob's Diner,1,Amazing Steak Dinner with Rolls,4,7,24,11271.804,30.882,297801.05,4.623,110.958
21,Corner Cafe,5,Halibut with Bread Dinner,91,7,24,16.252,0.045,251.25,3.769,90.465
22,Surfs Up,6,Roast Mutton Entree,64,2,10,52.99,0.145,852.62,8.951,89.506
23,Surfs Up,6,Oysters Rockefeller,88,3,10,48.221,0.132,774.43,8.145,81.451
24,Bob's Diner,1,Sea Bass with Vegetables Dinner,56,8,24,8111.025,22.222,233191.97,3.327,79.844
25,Surfs Up,6,Steak Meal,27,4,10,45.525,0.125,1193.21,7.69,76.897
26,Fou Cher,4,Margarita,92,5,28,9.261,0.025,29.91,2.496,69.875
27,Fou Cher,4,Amazing Lamb Dinner,51,6,28,7.588,0.021,133.16,2.045,57.248
28,Corner Cafe,5,Pork with Bread Lunch,70,8,24,10.018,0.027,163.1,2.324,55.768
29,Fou Cher,4,Blue Ribbon Milky Smoothy,75,7,28,7.229,0.02,40.48,1.948,54.539
30,Corner Cafe,5,Pike Lunch,50,9,24,9.778,0.027,257.83,2.268,54.427
31,Fou Cher,4,Original Breaded Lamb Dinner,48,8,28,6.87,0.019,81.2,1.851,51.832
32,Surfs Up,6,Amazing Cocktail,14,5,10,30.227,0.083,117.89,5.106,51.057
33,Fou Cher,4,Fish with Dread and Vegetables Dinner,28,9,28,6.596,0.018,100.46,1.778,49.77
34,Fou Cher,4,Blue Ribbon Pork Chop with Rolls Dinner,95,10,28,6.468,0.018,123.15,1.743,48.801
35,Fou Cher,4,Frozen Tomato Soft Drink,99,11,28,6.188,0.017,32.92,1.668,46.691
36,Fou Cher,4,Lamb with Bread Dinner,22,12,28,6.186,0.017,117.85,1.667,46.676
37,Fou Cher,4,Vegetarian Plate with Bread entree,85,13,28,6.123,0.017,24.62,1.65,46.202
38,Fou Cher,4,Sweet Savory Cake,34,14,28,6.12,0.017,168.13,1.649,46.178
39,Beachfront Bar,2,Original Crazy Cocktail,29,2,6,32.874,0.09,79.88,7.516,45.097
40,Fou Cher,4,Lamb with Bread and Vegetables Meal,65,15,28,5.971,0.016,119.55,1.609,45.055
41,Fou Cher,4,Super Sweet Cocktail,74,16,28,5.916,0.016,24.31,1.594,44.633
42,Fou Cher,4,Cherry Cake,66,17,28,5.9,0.016,37.23,1.59,44.513
43,Fou Cher,4,Carrot Cake,57,18,28,5.886,0.016,23.13,1.586,44.41
44,Fou Cher,4,Breaded Fish with Vegetables Meal,2,19,28,5.88,0.016,88.73,1.585,44.366
45,Fou Cher,4,Milky Cake,41,20,28,5.88,0.016,35.34,1.585,44.366
46,Fou Cher,4,Martini,82,21,28,5.88,0.016,32.05,1.585,44.366
47,Fou Cher,4,Fruity Frozen Cocktail,6,22,28,5.88,0.016,32.99,1.585,44.366
48,Fou Cher,4,Awesome Vegetable with Bread Meal,17,23,28,5.88,0.016,36.52,1.585,44.366
49,Fou Cher,4,Fruity Milky Cake,7,24,28,5.88,0.016,47.63,1.585,44.366
50,Fou Cher,4,Chocolate Cake,1,25,28,5.88,0.016,39.46,1.585,44.366
51,Fou Cher,4,Fantastic Fruity Salmon with Bread meal,40,26,28,5.88,0.016,133.3,1.585,44.366
52,Fou Cher,4,Amazing Vegetable and Bread Dinner,47,27,28,5.88,0.016,47.1,1.585,44.366
53,Fou Cher,4,Original Milky Cake,72,28,28,5.871,0.016,38.34,1.582,44.295
54,Bob's Diner,1,Amazing Fish with Vegetables Meal,21,9,24,4174.395,11.437,96971.19,1.712,41.092
55,Surfs Up,6,Fruity Milky Smoothy,94,6,10,23.764,0.065,135.7,4.014,40.141
56,Corner Cafe,5,Fantastic Fish with Vegetables Entree,36,10,24,7.002,0.019,148.02,1.624,38.977
57,Surfs Up,6,Awesome Pork with Vegetables Lunch,61,7,10,22.263,0.061,412.54,3.761,37.605
58,Corner Cafe,5,Frozen Chocolate Cake,63,11,24,6.302,0.017,23.57,1.462,35.082
59,Corner Cafe,5,Original Lamb with Vegetables Meal,15,12,24,6.292,0.017,118.16,1.459,35.022
60,Corner Cafe,5,Milk Cake,5,13,24,6.114,0.017,37.11,1.418,34.033
61,Corner Cafe,5,Mutton with Roles and Vegetables Plate,10,14,24,6.114,0.017,129.19,1.418,34.033
62,Corner Cafe,5,Original Fruity Carrot Cake,83,15,24,6.114,0.017,52.27,1.418,34.033
63,Corner Cafe,5,Blue Ribbon Fish with Bread Lunch,96,16,24,6.114,0.017,134.08,1.418,34.033
64,Corner Cafe,5,Fruity Milky Soft Drink,20,17,24,6.114,0.017,48.61,1.418,34.033
65,Corner Cafe,5,Amazing Sweet Breaded Carrot Cake,53,18,24,6.114,0.017,48.12,1.418,34.033
66,Corner Cafe,5,Frozen Milky Cake,55,19,24,6.114,0.017,40.54,1.418,34.033
67,Corner Cafe,5,Awesome Fruity Lamb with Vegetables Dinner,39,20,24,6.114,0.017,116.35,1.418,34.033
68,Corner Cafe,5,Anglefood Cake,43,21,24,6.114,0.017,43.59,1.418,34.033
69,Corner Cafe,5,BBQ Pork Steak,84,22,24,6.114,0.017,120.87,1.418,34.033
70,Corner Cafe,5,Original Vegetable with Bread Meal,54,23,24,6.114,0.017,39.8,1.418,34.033
71,Corner Cafe,5,Milky Cake,87,24,24,6.114,0.017,44.14,1.418,34.033
72,Surfs Up,6,Blue Ribbon Cocktail,35,8,10,18.738,0.051,81.7,3.165,31.651
73,Surfs Up,6,Original Breaded Pork with Vegetables Dinner,33,9,10,17.093,0.047,355.53,2.887,28.871
74,Surfs Up,6,Amazing Trout with Vegetables Dinner,8,10,10,14.413,0.039,360.02,2.434,24.344
